country,iso3,year,under_sanctions,scope,stated_justification,legal_authority,layer1_ofac_events,layer2_multilateral,layer3_agency_actions,layer4_kinetic,eiii_score,polity,friction,degradation,resource_density,fiscal_pressure,gdp_pc_log,trend,vdem_electoral,vdem_elections,eiii_equal,eiii_rawcount,eiii_financial,friction_z,resource_density_z,fiscal_pressure_z,gdp_pc_log_z,trend_z,regime_z,fric_x_fiscal
Iran,IRN,1994,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,-6.0,4.1841,0,25.81,2.785,7.063,49,0.165,0.301,0,0,0,1.032260182936948,1.0045393450812545,1.4821223251640379,-0.14430791010886504,-0.8717333331485031,-0.46226257039502067,1.5299358625087645
Iran,IRN,1995,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,-6.0,4.6881,0,20.77,3.039,7.346,50,0.165,0.301,0,0,0,1.7539518124686266,0.6433830258618114,1.8770592777367257,0.09068503578133076,-0.7903553304902499,-0.46226257039502067,3.2922715222973813
Iran,IRN,1996,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,-6.0,4.7014,1,20.99,2.986,7.557,51,0.174,0.336,0,0,0,1.772996452692378,0.6591477858277394,1.7946511734597477,0.26589179049098205,-0.7089773278319966,-0.40322136833523076,3.1819101643643464
Iran,IRN,1997,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,3.0,4.8214,1,19.76,2.844,7.49,52,0.218,0.38,0,0,0,1.9448277930570634,0.5710084460182325,1.5738596487931262,0.21025741814241974,-0.6275993251737434,-0.11457549159847931,3.0608859873439007
Iran,IRN,1998,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,3.0,4.7732,0,13.4,2.661,7.444,53,0.231,0.427,0,0,0,1.8758088713439154,0.11526356700322073,1.289318458553749,0.1720606848881828,-0.5462213225154902,-0.029293755289893607,2.4185150025425846
Iran,IRN,1999,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,3.0,4.2288,1,18.63,2.386,7.461,54,0.234,0.427,0,0,0,1.096267357222793,0.4900349061932382,0.8617292382486736,0.18617686891692273,-0.464843319857237,-0.009613354603296903,0.944685634656484
Iran,IRN,2000,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,3.0,3.6987,1,33.08,2.175,7.409,55,0.233,0.414,0,0,0,0.33720241116179667,1.5254930039553325,0.5336516910327789,0.1429979530643069,-0.38346531719898375,-0.016173488165495804,0.17994863693682317
Iran,IRN,2001,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,3.0,3.7641,1,24.06,1.948,7.54,56,0.234,0.43,0,0,0,0.43085049166054995,0.8791378453522812,0.18069622554458947,0.2517756064622421,-0.3020873145407305,-0.009613354603296903,0.077853057617092
Iran,IRN,2002,1,comprehensive,terrorism,IEEPA,0,0,0,0,0,3.0,3.9774,0,22.9,1.564,7.545,57,0.232,0.42,0,0,0,0.7362806991587777,0.7960145655319332,-0.41637381299049764,0.2559274252942243,-0.22070931188247725,-0.022733621727694706,-0.30656800214004976
Iran,IRN,2003,1,comprehensive,terrorism,IEEPA,0,0,0,3,3,3.0,3.8323,0,24.18,1.336,7.7,58,0.232,0.42,1,3,0,0.5285079701011461,0.8877368053336966,-0.7708841483707056,0.3846338090856743,-0.13933130922422401,-0.022733621727694706,-0.40741841643855237
Iran,IRN,2004,1,comprehensive,terrorism,IEEPA,0,0,0,3,3,-7.0,3.9989,0,27.24,1.312,7.891,59,0.207,0.283,1,3,0,0.7670671476407839,1.1070102848597871,-0.8082010257791487,0.5432332884673963,-0.05795330656597079,-0.18673696078266722,-0.6199444555647672
Iran,IRN,2005,1,comprehensive,terrorism,IEEPA,0,0,1,0,1,-6.0,3.9264,1,34.48,1.411,8.049,60,0.177,0.246,1,1,1,0.6632523795037869,1.6258142037385113,-0.6542689064693215,0.674430763558035,0.023424696092282447,-0.38354096764863405,-0.43394540905111806
Iran,IRN,2006,1,comprehensive,terrorism,IEEPA,0,32,0,0,32,-6.0,4.2479,1,34.78,1.64,8.194,61,0.173,0.236,1,32,32,1.1236171788975051,1.6473116036920499,-0.29820370119709516,0.7948335096855214,0.10480269875053569,-0.4097815018974297,-0.33506680147587464
Iran,IRN,2007,1,comprehensive,terrorism,IEEPA,0,41,0,0,41,-6.0,4.004,1,29.18,1.638,8.453,62,0.173,0.236,1,41,41,0.7743699796062825,1.246026804559335,-0.3013134409811321,1.009897725182201,0.18618070140878892,-0.4097815018974297,-0.23332808314765807
Iran,IRN,2008,1,comprehensive,terrorism,IEEPA,0,35,1,0,36,-6.0,4.0091,1,33.52,1.711,8.59,63,0.167,0.202,2,36,36,0.7816728115717824,1.557022523887189,-0.1878079388637845,1.123657561178515,0.2675587040670422,-0.4491423032706229,-0.14680435960715585
Iran,IRN,2009,1,comprehensive,terrorism,IEEPA,0,0,1,1,2,-7.0,4.3583,1,20.34,1.291,8.597,64,0.158,0.159,2,2,1,1.281702012033016,0.6125700859284064,-0.8408532935115364,1.1294701075432898,0.3489367067252954,-0.508183505330413,-1.0777233581183243
Iran,IRN,2010,1,comprehensive,terrorism,IEEPA,0,77,2,0,79,-7.0,3.8971,1,23.07,1.304,8.747,65,0.144,0.127,2,52,79,0.6212968938980761,0.808196425505605,-0.8206399849152963,1.2540246725027577,0.43031470938354865,-0.6000253752011976,-0.5098610736364376
Iran,IRN,2011,1,comprehensive,terrorism,IEEPA,0,0,1,1,2,-7.0,4.4478,1,25.35,1.474,8.99,66,0.145,0.127,2,2,1,1.4098595533883438,0.9715766651524961,-0.5563121032721589,1.4558030677370954,0.5116927120418019,-0.5934652416389987,-0.7843219334638161
Iran,IRN,2012,1,comprehensive,terrorism,IEEPA,9,8,3,3,23,-7.0,3.9712,0,21.12,1.356,9.001,67,0.158,0.235,4,23,20,0.7274027465732693,0.6684633258076061,-0.7397867505303365,1.4649370691674557,0.5930707147000551,-0.508183505330413,-0.5381229142142807
Iran,IRN,2013,1,comprehensive,terrorism,IEEPA,0,0,11,1,12,-7.0,4.2699,0,24.95,1.309,8.736,68,0.174,0.334,2,12,11,1.155119591297698,0.9429134652144449,-0.8128656354552042,1.2448906710723975,0.6744487173583084,-0.40322136833523076,-0.938957020606959
Iran,IRN,2014,1,comprehensive,terrorism,IEEPA,0,0,11,0,11,-7.0,4.2033,0,24.86,1.3,8.643,69,0.183,0.382,1,11,11,1.0597531973952972,0.9364642452283833,-0.8268594644833701,1.1676668407975275,0.7558267200165616,-0.3441801662754407,-0.8762669612828147
Iran,IRN,2015,1,comprehensive,terrorism,IEEPA,0,0,10,0,10,-7.0,4.1581,0,15.23,1.22,8.508,70,0.186,0.382,1,10,10,0.9950300591912665,0.24639770671980432,-0.9512490558448468,1.0555677323340054,0.8372047226748148,-0.32449976558884397,-0.9465214043429343
Iran,IRN,2016,1,comprehensive,terrorism,IEEPA,2,0,12,0,14,-7.0,3.7645,1,13.14,1.276,8.65,71,0.186,0.382,2,14,14,0.43142326279509885,0.09663248704348756,-0.8641763418918131,1.1734793871623024,0.9185827253330681,-0.32449976558884397,-0.37282577704929887
Iran,IRN,2017,1,comprehensive,terrorism,IEEPA,0,0,9,0,9,-7.0,4.382,1,17.47,1.339,8.7,72,0.185,0.37,1,9,9,1.315638701755041,0.4069116263728901,-0.7662195386946504,1.214997575482124,0.9999607279913213,-0.33105989915104284,-1.0080680791475762
Iran,IRN,2018,1,comprehensive,terrorism,IEEPA,3,0,6,0,9,-7.0,3.8945,1,34.24,1.573,8.473,73,0.182,0.367,2,9,9,0.6175738815235077,1.608616283775681,-0.40237998396233166,1.026505000510131,1.0813387306495745,-0.35074029983763955,-0.24849936854298393
Iran,IRN,2019,1,comprehensive,terrorism,IEEPA,9,0,14,0,23,-7.0,4.4766,1,27.8,1.742,8.293,74,0.181,0.367,2,23,23,1.4510990750758688,1.1471387647730587,-0.1396069722112125,0.8770395225587687,1.1627167333078277,-0.35730043339983847,-0.20258354824983296
Iran,IRN,2020,1,comprehensive,terrorism,IEEPA,3,0,5,4,12,-7.0,4.1619,1,23.24,1.616,8.072,75,0.165,0.266,3,12,8,1.0004713849694817,0.8203782854792765,-0.3355205786055378,0.693529130185153,1.244094735966081,-0.46226257039502067,-0.33567873796324427
Iran,IRN,2021,1,comprehensive,terrorism,IEEPA,0,0,8,3,11,-7.0,4.0954,1,30.45,1.485,8.435,76,0.158,0.241,2,11,8,0.9052481838507179,1.3370324643626468,-0.5392085344599556,0.9949511773870657,1.3254727386243341,-0.508183505330413,-0.4881175465366821
Iraq,IRQ,1990,1,comprehensive,national_security,IEEPA,7,0,0,0,7,-9.0,4.1101,1,9.5,3.091,9.236,45,0.081,0.044,1,7,7,0.9262975230453925,-0.16420263239277708,1.9579125121216856,1.6600725542706227,-1.197245343781516,-1.0133137896197277,1.8136095103178993
Iraq,IRQ,1994,1,comprehensive,national_security,IEEPA,0,0,0,3,3,-9.0,4.694,1,67.44,2.785,5.289,49,0.083,0.044,1,3,0,1.762400186703223,3.987661878633918,1.4821223251640379,-1.6173732316961682,-0.8717333331485031,-1.00019352249533,2.6120926625861154
Iraq,IRQ,1995,1,comprehensive,national_security,IEEPA,0,0,0,0,0,-9.0,4.7225,1,23.08,3.039,6.428,50,0.097,0.047,0,0,0,1.803210130039836,0.8089130055040561,1.8770592777367257,-0.6715889017706109,-0.7903553304902499,-0.9083516526245455,3.3847323043001216
Iraq,IRQ,2005,1,comprehensive,national_security,IEEPA,0,627,0,8,635,0.0,3.8925,1,65.32,1.411,7.474,60,0.237,0.098,2,58,627,0.6147100258507633,3.835746918962247,-0.6542689064693215,0.1969715978800765,0.023424696092282447,0.010067046083299617,-0.4021856564091072
Iraq,IRQ,2006,1,comprehensive,national_security,IEEPA,0,70,0,5,75,-3.0,3.0951,1,63.73,1.64,7.73,61,0.397,0.428,2,55,70,-0.5271092308725701,3.7218106992084947,-0.29820370119709516,0.40954472207756804,0.10480269875053569,1.059688416035123,0.15718592358135455
